frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
276,4.6466,0.0333,0.0172,169,0.4938,0.193611,140,0.5983,0.2701
277,4.6635,0.0331,0.0173,169,0.4938,0.193611,140,0.5982,0.2704
278,4.6803,0.0333,0.0174,169,0.4937,0.193611,140,0.5557,0.0722
279,4.6971,0.0332,0.0174,169,0.4938,0.193611,140,0.5547,0.0726
280,4.7140,-0.0826,0.0144,163,0.4149,0.193553,140,0.5549,0.0436
281,4.7308,-0.0826,0.0144,163,0.4149,0.193553,143,0.5789,0.0923
282,4.7476,-0.0826,0.0143,163,0.4149,0.193553,140,0.5549,0.0436
283,4.7645,-0.0830,0.0143,163,0.4150,0.193554,140,0.5548,0.0440
284,4.7813,-0.0832,0.0144,163,0.4149,0.193554,140,0.5546,0.0443
285,4.7981,-0.0826,0.0143,163,0.4151,0.193553,140,0.5640,0.0369
286,4.8150,-0.0824,0.0143,163,0.4151,0.193553,140,0.5640,0.0370
287,4.8318,-0.0826,0.0144,163,0.4151,0.193553,143,0.5796,0.0823
288,4.8487,-0.0821,0.0142,163,0.4151,0.193552,143,0.5795,0.0819
289,4.8655,-0.0824,0.0141,163,0.4151,0.193553,143,0.5793,0.0822
290,4.8823,-0.0787,0.0174,163,0.4149,0.193566,140,0.5505,0.0307
291,4.8992,0.0544,0.0078,168,0.4818,0.193603,140,0.5505,0.1037
292,4.9160,0.0590,-0.0033,170,0.5148,0.193600,140,0.5505,0.1091
293,4.9328,0.0589,-0.0033,170,0.5150,0.193600,140,0.5505,0.1090
294,4.9497,-0.0703,0.0113,165,0.4455,0.193564,140,0.5505,0.0214
295,4.9665,-0.0700,0.0108,165,0.4456,0.193564,140,0.5504,0.0209
296,4.9833,0.0041,0.0180,167,0.4676,0.193592,140,0.5503,0.0539
297,5.0002,0.0039,0.0181,167,0.4677,0.193592,140,0.5503,0.0540
298,5.0170,0.0045,0.0177,167,0.4677,0.193592,140,0.5503,0.0545
299,5.0338,0.0041,0.0179,167,0.4676,0.193592,140,0.5503,0.0542
300,5.0507,-0.0800,0.0073,164,0.4254,0.193556,142,0.5600,0.0069
301,5.0675,-0.0804,0.0072,164,0.4254,0.193557,142,0.5599,0.0073
302,5.0844,-0.0803,0.0070,164,0.4254,0.193557,143,0.5676,0.0797
303,5.1012,-0.0271,0.0395,167,0.4661,0.193642,141,0.5474,0.0373
304,5.1180,-0.1092,0.0200,163,0.4161,0.193585,141,0.5474,0.0788
305,5.1349,-0.0787,0.0169,163,0.4081,0.193567,141,0.5474,0.0488
306,5.1517,-0.0789,0.0169,163,0.4081,0.193567,141,0.5473,0.0489
307,5.1685,-0.0790,0.0171,163,0.4082,0.193567,142,0.5738,0.0563
308,5.1854,-0.0791,0.0171,163,0.4083,0.193567,142,0.5739,0.0562
309,5.2022,-0.0791,0.0171,163,0.4083,0.193568,142,0.5739,0.0563
310,5.2190,0.0057,0.0324,167,0.4715,0.193667,140,0.5779,0.1151
311,5.2359,0.0054,0.0325,167,0.4716,0.193668,144,0.6033,0.1042
312,5.2527,0.0048,0.0327,167,0.4716,0.193669,143,0.5600,0.0352
313,5.2695,0.0046,0.0326,167,0.4716,0.193669,143,0.5595,0.0472
314,5.2864,0.1061,-0.0330,167,0.4737,0.193499,144,0.5873,0.1652
315,5.3032,0.0409,0.0032,168,0.4781,0.193597,144,0.6083,0.0941
316,5.3201,0.0409,0.0031,168,0.4781,0.193598,144,0.6083,0.0941
317,5.3369,0.0409,0.0031,168,0.4783,0.193598,141,0.5667,0.1435
318,5.3537,0.0409,0.0031,168,0.4782,0.193598,144,0.6084,0.0939
319,5.3706,0.0409,0.0032,168,0.4781,0.193597,141,0.5667,0.1434
320,5.3874,-0.0869,0.0190,163,0.4085,0.193572,143,0.5573,0.0695
321,5.4042,-0.0870,0.0189,163,0.4085,0.193572,143,0.5572,0.0695
