frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
412,6.9363,-0.0021,0.0008,2000,1.0000,0.6099,
413,6.9531,-0.0023,0.0008,2000,1.0000,0.6100,
414,6.9699,-0.0023,0.0008,2000,1.0000,0.6104,
415,6.9868,-0.0023,0.0008,2000,1.0000,0.6104,
416,7.0036,-0.0022,0.0008,2000,1.0000,0.6103,
417,7.0204,-0.0022,0.0008,2000,1.0000,0.6104,
418,7.0373,-0.0022,0.0007,2000,1.0000,0.6104,
419,7.0541,-0.0022,0.0008,2000,1.0000,0.6104,
420,7.0710,-0.0016,0.0010,1999,1.0000,0.6085,
421,7.0878,-0.0016,0.0010,2000,1.0000,0.6098,
422,7.1046,-0.0016,0.0010,2000,1.0000,0.6099,
423,7.1215,-0.0017,0.0010,2000,1.0000,0.6098,
424,7.1383,-0.0017,0.0010,2000,1.0000,0.6082,
425,7.1551,-0.0017,0.0010,2000,1.0000,0.6103,
