frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
123,2.0708,-0.0681,-0.0075,-0.0023,-0.0025,0.0658,0.0050,0.0660,-0.0023,-0.0025,0.0660,2000,1.0000,0.6099,163,0.4144,0.193544,0.0597,
124,2.0876,0.0197,-0.0046,-0.0023,-0.0025,-0.0220,0.0021,0.0221,-0.0023,-0.0025,0.0221,2000,1.0000,0.6095,168,0.4916,0.193618,0.0754,
125,2.1045,-0.0765,-0.0182,-0.0024,-0.0026,0.0741,0.0156,0.0757,-0.0023,-0.0026,0.0758,2000,1.0000,0.6098,164,0.4377,0.193542,0.0952,
126,2.1213,-0.0707,0.0029,-0.0024,-0.0026,0.0683,-0.0055,0.0685,-0.0024,-0.0026,0.0685,2000,1.0000,0.6101,164,0.4258,0.193570,0.0744,
127,2.1381,-0.0704,0.0024,-0.0024,-0.0025,0.0680,-0.0049,0.0682,-0.0024,-0.0025,0.0682,2000,1.0000,0.6101,163,0.4103,0.193569,0.0553,
128,2.1550,-0.0705,0.0024,-0.0024,-0.0025,0.0681,-0.0049,0.0683,-0.0024,-0.0025,0.0683,2000,1.0000,0.6101,163,0.4103,0.193569,0.0240,
129,2.1718,-0.0709,0.0026,-0.0024,-0.0025,0.0685,-0.0051,0.0687,-0.0024,-0.0025,0.0687,2000,1.0000,0.6101,163,0.4103,0.193569,0.0243,
130,2.1886,-0.0611,-0.0191,-0.0024,-0.0026,0.0587,0.0165,0.0610,-0.0024,-0.0026,0.0610,2000,1.0000,0.6098,164,0.4330,0.193526,0.0506,
131,2.2055,0.0504,-0.0175,-0.0024,-0.0025,-0.0528,0.0150,0.0549,-0.0024,-0.0025,0.0549,2000,1.0000,0.6088,173,0.5881,0.193688,0.1203,
132,2.2223,0.2368,-0.0761,-0.0024,-0.0025,-0.2392,0.0736,0.2503,-0.0024,-0.0025,0.2503,2000,1.0000,0.6087,173,0.6131,0.193624,0.3155,
133,2.2391,-0.0139,0.0285,-0.0024,-0.0025,0.0115,-0.0310,0.0331,-0.0024,-0.0025,0.0331,2000,1.0000,0.6101,167,0.4792,0.193709,0.0967,
134,2.2560,-0.0133,0.0284,-0.0024,-0.0024,0.0109,-0.0308,0.0327,-0.0024,-0.0024,0.0327,2000,1.0000,0.6101,167,0.4792,0.193709,0.0533,
135,2.2728,-0.0308,0.0304,-0.0024,-0.0022,0.0284,-0.0326,0.0432,-0.0024,-0.0022,0.0432,2000,1.0000,0.6102,166,0.4577,0.193629,0.0476,
136,2.2896,-0.0310,0.0303,-0.0024,-0.0022,0.0286,-0.0325,0.0433,-0.0024,-0.0022,0.0433,2000,1.0000,0.6102,166,0.4572,0.193629,0.0125,
137,2.3065,-0.0468,0.0194,-0.0024,-0.0022,0.0444,-0.0216,0.0494,-0.0024,-0.0022,0.0494,2000,1.0000,0.6101,164,0.4231,0.193592,0.1343,
138,2.3233,-0.0469,0.0193,-0.0024,-0.0022,0.0445,-0.0215,0.0494,-0.0024,-0.0022,0.0494,2000,1.0000,0.6101,164,0.4231,0.193592,0.1344,
139,2.3401,0.0998,-0.0731,-0.0024,-0.0023,-0.1022,0.0708,0.1243,-0.0024,-0.0023,0.1243,2000,1.0000,0.6084,175,0.6334,0.193587,0.3085,
140,2.3570,0.0075,0.0103,-0.0024,-0.0023,-0.0099,-0.0126,0.0160,-0.0024,-0.0023,0.0160,1999,1.0000,0.6101,167,0.4708,0.193618,0.1202,
141,2.3738,0.0073,0.0102,-0.0024,-0.0022,-0.0097,-0.0124,0.0157,-0.0024,-0.0022,0.0157,2000,1.0000,0.6101,167,0.4706,0.193618,0.1202,
142,2.3907,0.0046,0.0196,-0.0024,-0.0021,-0.0070,-0.0217,0.0228,-0.0024,-0.0021,0.0228,2000,1.0000,0.6102,167,0.4753,0.193673,0.1163,
143,2.4075,0.0045,0.0196,-0.0024,-0.0021,-0.0069,-0.0217,0.0228,-0.0024,-0.0021,0.0228,2000,1.0000,0.6102,167,0.4752,0.193673,0.1160,
